2020-12-18 16:40	1.22304	1.22342	1.22291	1.22333	550
2020-12-18 16:45	1.22334	1.22356	1.22329	1.22337	610
2020-12-18 16:50	1.22338	1.22356	1.22335	1.22349	543
2020-12-18 16:55	1.22350	1.22356	1.22315	1.22351	578
2020-12-18 17:00	1.22352	1.22369	1.22331	1.22349	676
2020-12-18 17:05	1.22350	1.22366	1.22330	1.22362	437
2020-12-18 17:10	1.22362	1.22362	1.22348	1.22361	324
2020-12-18 17:15	1.22362	1.22370	1.22349	1.22360	169
2020-12-18 17:20	1.22357	1.22357	1.22325	1.22339	258
2020-12-18 17:25	1.22336	1.22383	1.22329	1.22383	567
2020-12-18 17:30	1.22380	1.22409	1.22377	1.22404	279
2020-12-18 17:35	1.22402	1.22444	1.22399	1.22429	447
2020-12-18 17:40	1.22429	1.22457	1.22425	1.22455	299
2020-12-18 17:45	1.22455	1.22455	1.22407	1.22412	404
2020-12-18 17:50	1.22412	1.22418	1.22395	1.22397	376
2020-12-18 17:55	1.22395	1.22397	1.22366	1.22367	357
2020-12-18 18:00	1.22367	1.22388	1.22362	1.22388	257
2020-12-18 18:05	1.22388	1.22401	1.22366	1.22395	275
2020-12-18 18:10	1.22396	1.22420	1.22383	1.22387	414
2020-12-18 18:15	1.22386	1.22386	1.22361	1.22373	258
2020-12-18 18:20	1.22375	1.22383	1.22366	1.22382	233
2020-12-18 18:25	1.22383	1.22410	1.22383	1.22409	221
2020-12-18 18:30	1.22409	1.22415	1.22396	1.22399	278
2020-12-18 18:35	1.22398	1.22398	1.22389	1.22389	220
2020-12-18 18:40	1.22390	1.22418	1.22389	1.22417	206
2020-12-18 18:45	1.22417	1.22423	1.22409	1.22411	133
2020-12-18 18:50	1.22410	1.22429	1.22407	1.22427	172
2020-12-18 18:55	1.22429	1.22432	1.22415	1.22419	228
2020-12-18 19:00	1.22421	1.22421	1.22398	1.22403	434
2020-12-18 19:05	1.22406	1.22418	1.22403	1.22406	151
2020-12-18 19:10	1.22407	1.22409	1.22393	1.22400	123
2020-12-18 19:15	1.22401	1.22413	1.22392	1.22392	108
2020-12-18 19:20	1.22393	1.22402	1.22391	1.22402	71
2020-12-18 19:25	1.22403	1.22406	1.22391	1.22403	180
2020-12-18 19:30	1.22405	1.22406	1.22381	1.22381	233
2020-12-18 19:35	1.22382	1.22392	1.22364	1.22364	242
2020-12-18 19:40	1.22365	1.22375	1.22359	1.22360	224
2020-12-18 19:45	1.22360	1.22371	1.22349	1.22360	204
2020-12-18 19:50	1.22361	1.22371	1.22360	1.22370	288
2020-12-18 19:55	1.22371	1.22433	1.22371	1.22420	510
2020-12-18 20:00	1.22421	1.22421	1.22375	1.22376	399
2020-12-18 20:05	1.22377	1.22380	1.22365	1.22366	188
2020-12-18 20:10	1.22367	1.22400	1.22364	1.22399	224
2020-12-18 20:15	1.22400	1.22411	1.22396	1.22408	342
2020-12-18 20:20	1.22407	1.22409	1.22382	1.22385	276
2020-12-18 20:25	1.22384	1.22411	1.22382	1.22406	267
2020-12-18 20:30	1.22405	1.22436	1.22398	1.22427	549
2020-12-18 20:35	1.22430	1.22436	1.22417	1.22422	308
2020-12-18 20:40	1.22421	1.22443	1.22419	1.22432	257
2020-12-18 20:45	1.22433	1.22477	1.22433	1.22464	474
2020-12-18 20:50	1.22465	1.22472	1.22440	1.22459	576
2020-12-18 20:55	1.22459	1.22489	1.22459	1.22460	597
2020-12-18 21:00	1.22459	1.22469	1.22446	1.22468	598
2020-12-18 21:05	1.22467	1.22484	1.22458	1.22483	258
2020-12-18 21:10	1.22484	1.22497	1.22483	1.22494	222
2020-12-18 21:15	1.22498	1.22499	1.22488	1.22492	71
2020-12-18 21:20	1.22491	1.22505	1.22491	1.22503	105
2020-12-18 21:25	1.22503	1.22543	1.22499	1.22541	180
2020-12-18 21:30	1.22540	1.22547	1.22535	1.22545	82
2020-12-18 21:35	1.22544	1.22544	1.22521	1.22531	209
2020-12-18 21:40	1.22532	1.22553	1.22530	1.22538	181
2020-12-18 21:45	1.22538	1.22574	1.22537	1.22570	315
2020-12-18 21:50	1.22569	1.22580	1.22533	1.22539	894
2020-12-18 21:55	1.22538	1.22587	1.22536	1.22559	2699
2020-12-20 22:00	1.22210	1.22292	1.22209	1.22247	106
2020-12-20 22:05	1.22248	1.22295	1.22235	1.22295	344
2020-12-20 22:10	1.22293	1.22310	1.22258	1.22293	331
2020-12-20 22:15	1.22294	1.22339	1.22279	1.22325	49
2020-12-20 22:20	1.22322	1.22327	1.22295	1.22306	33
2020-12-20 22:25	1.22296	1.22315	1.22296	1.22300	22
2020-12-20 22:30	1.22311	1.22323	1.22296	1.22315	24
2020-12-20 22:35	1.22323	1.22326	1.22304	1.22324	5
2020-12-20 22:40	1.22324	1.22330	1.22318	1.22328	60
2020-12-20 22:45	1.22330	1.22347	1.22328	1.22331	66
2020-12-20 22:50	1.22333	1.22341	1.22318	1.22322	47
2020-12-20 22:55	1.22323	1.22324	1.22274	1.22296	64
2020-12-20 23:00	1.22295	1.22348	1.22253	1.22293	935
2020-12-20 23:05	1.22292	1.22326	1.22281	1.22319	447
2020-12-20 23:10	1.22320	1.22326	1.22306	1.22307	100
2020-12-20 23:15	1.22305	1.22305	1.22262	1.22262	470
2020-12-20 23:20	1.22262	1.22279	1.22233	1.22234	406
2020-12-20 23:25	1.22233	1.22234	1.22147	1.22164	473
2020-12-20 23:30	1.22166	1.22189	1.22164	1.22178	302
2020-12-20 23:35	1.22179	1.22187	1.22138	1.22138	356
2020-12-20 23:40	1.22138	1.22153	1.22117	1.22141	438
2020-12-20 23:45	1.22142	1.22178	1.22137	1.22155	213
2020-12-20 23:50	1.22156	1.22169	1.22143	1.22168	205
2020-12-20 23:55	1.22169	1.22169	1.22113	1.22118	316
2020-12-21 00:00	1.22118	1.22141	1.22083	1.22131	603
2020-12-21 00:05	1.22132	1.22134	1.22086	1.22088	566
2020-12-21 00:10	1.22090	1.22102	1.22085	1.22102	413
2020-12-21 00:15	1.22102	1.22116	1.22046	1.22060	825
2020-12-21 00:20	1.22061	1.22103	1.22048	1.22086	698
2020-12-21 00:25	1.22084	1.22120	1.22084	1.22108	237
2020-12-21 00:30	1.22108	1.22163	1.22108	1.22153	656
2020-12-21 00:35	1.22153	1.22186	1.22150	1.22178	416
2020-12-21 00:40	1.22179	1.22194	1.22171	1.22173	433
2020-12-21 00:45	1.22175	1.22187	1.22174	1.22175	229
2020-12-21 00:50	1.22175	1.22193	1.22153	1.22159	722
2020-12-21 00:55	1.22159	1.22193	1.22149	1.22191	528
2020-12-21 01:00	1.22190	1.22203	1.22182	1.22203	527
2020-12-21 01:05	1.22202	1.22223	1.22202	1.22223	380
2020-12-21 01:10	1.22223	1.22241	1.22222	1.22230	511
2020-12-21 01:15	1.22230	1.22260	1.22222	1.22245	511
2020-12-21 01:20	1.22245	1.22256	1.22230	1.22238	329
2020-12-21 01:25	1.22240	1.22250	1.22239	1.22239	306
2020-12-21 01:30	1.22241	1.22245	1.22218	1.22224	515
2020-12-21 01:35	1.22223	1.22226	1.22192	1.22202	644
2020-12-21 01:40	1.22201	1.22206	1.22064	1.22117	1205
2020-12-21 01:45	1.22117	1.22119	1.22065	1.22068	978
2020-12-21 01:50	1.22068	1.22096	1.22056	1.22092	714
2020-12-21 01:55	1.22092	1.22113	1.22081	1.22081	403
2020-12-21 02:00	1.22084	1.22115	1.22078	1.22100	279
2020-12-21 02:05	1.22100	1.22122	1.22095	1.22115	433
2020-12-21 02:10	1.22116	1.22117	1.22088	1.22096	263
